BOR;AN;FI;FI_EJ;PERSO;SMUR_EFFPL;SMUR_EFFPA;SMUR_ETP;SMUR_COMSU;SAMU_EFFPL;SAMU_EFFPA;SAMU_ETP
SMURSAMU_P;2013;010000024;010780054;M9999;21;2;4;1;21;2;4
SMURSAMU_P;2013;010000024;010780054;MREG;21;2;4;1;;;
SMURSAMU_P;2013;010000024;010780054;N1220;;;;;;1;0.67
SMURSAMU_P;2013;010000024;010780054;N2223;9;7;12.13;;;;
SMURSAMU_P;2013;010000024;010780054;N9999;14;9;21.98;;21;7;25.74
SMURSAMU_P;2013;010005239;010008407;N2120;1;;0.1;;;;
SMURSAMU_P;2013;010005239;010008407;N2223;1;;0.3;;;;
SMURSAMU_P;2013;010780203;010006450;M9999;5;2;;1;;;
SMURSAMU_P;2013;010780203;010006450;N1220;4;;4;;;;
SMURSAMU_P;2013;010780203;010006450;N2120;1;;1;;;;
SMURSAMU_P;2013;010780203;010006450;N2223;10;2;11.83;;;;
SMURSAMU_P;2013;010780203;010006450;N2500;;6;5.56;;;;
SMURSAMU_P;2013;020000162;020000063;M9999;7;6;7;1;0;0;0
SMURSAMU_P;2013;020000162;020000063;N1220;1;0;0.12;1;0;0;0
SMURSAMU_P;2013;020000162;020000063;N2120;2;0;0.23;1;0;0;0
SMURSAMU_P;2013;020000162;020000063;N2223;5;3;1.45;1;0;0;0
SMURSAMU_P;2013;020000162;020000063;N2500;9;1;3.37;;0;0;0
SMURSAMU_P;2013;020000162;020000063;N9999;22;6;7.58;1;0;0;0
SMURSAMU_P;2013;020000394;020000253;M9999;5;0;3.95;1;5;1;3.4
SMURSAMU_P;2013;020000394;020000253;MREG;0;0;0;1;5;1;3.4
SMURSAMU_P;2013;020000394;020000253;N1220;0;0;0;1;4;0;4.59
SMURSAMU_P;2013;020000394;020000253;N2120;1;0;0.5;1;0;0;0
SMURSAMU_P;2013;020000394;020000253;N2223;14;1;14.12;1;2;0;0.7
SMURSAMU_P;2013;020000394;020000253;N2620;0;0;0;1;0;0;0
SMURSAMU_P;2013;020000394;020000253;N3120;;;;1;0;0;0
SMURSAMU_P;2013;020000394;020000253;N9999;28;2;27.35;1;15;1;14.79
SMURSAMU_P;2013;020000519;020000261;M9999;3;;3;0;;;
SMURSAMU_P;2013;020000519;020000261;N2223;4;1;4.8;0;;;
SMURSAMU_P;2013;020000535;020000287;M9999;1;;1;1;;;
SMURSAMU_P;2013;020000535;020000287;N2120;;;0.1;1;;;
SMURSAMU_P;2013;020000535;020000287;N2223;6;;6;1;;;
SMURSAMU_P;2013;020000535;020000287;N2500;4;2;5.81;;;;
SMURSAMU_P;2013;020000535;020000287;N9999;10;2;11.91;1;;;
SMURSAMU_P;2013;020001061;020004404;M9999;7;4;4;1;;;
SMURSAMU_P;2013;020001061;020004404;N1220;1;;0.9;1;;;
SMURSAMU_P;2013;020001061;020004404;N2120;1;;0.2;1;;;
SMURSAMU_P;2013;020001061;020004404;N2223;4;;4;0;;;
SMURSAMU_P;2013;020001061;020004404;N9999;5;;4.2;;;;
SMURSAMU_P;2013;020001087;020004495;M9999;11;0;4.4;1;0;0;0
SMURSAMU_P;2013;020001087;020004495;N2223;11;0;5.42;1;0;0;0
SMURSAMU_P;2013;020001087;020004495;N9999;17;0;9.62;1;0;0;0
SMURSAMU_P;2013;030000061;030780092;M9999;9;3;6.58;1;;;6.14
SMURSAMU_P;2013;030000061;030780092;MREG;;;;1;;;
SMURSAMU_P;2013;030000061;030780092;N1220;;1;0.2;0;;1;0.7
SMURSAMU_P;2013;030000061;030780092;N2223;5;;5.07;1;;;
SMURSAMU_P;2013;030000061;030780092;N9999;13;1;13.09;;15;2;16.5
SMURSAMU_P;2013;030000079;030780100;M9999;3;1;1.94;1;;;
SMURSAMU_P;2013;030000079;030780100;N1220;2;;0.5;1;;;
SMURSAMU_P;2013;030000079;030780100;N2223;31;4;10.11;1;;;
SMURSAMU_P;2013;030000087;030780118;M1140;;;;1;;;
SMURSAMU_P;2013;030000087;030780118;M9999;9;13;16.7;1;0;0;0
SMURSAMU_P;2013;030000087;030780118;N1220;;0;0;1;;;
SMURSAMU_P;2013;030000087;030780118;N2120;;2;0.47;1;;;
SMURSAMU_P;2013;030000087;030780118;N2223;;30;10.67;1;;;
SMURSAMU_P;2013;030000087;030780118;N2500;;9;7.2;;;;
SMURSAMU_P;2013;030000087;030780118;N2620;;3;2.05;1;;;
SMURSAMU_P;2013;030000087;030780118;N3120;;;;1;;;
SMURSAMU_P;2013;030000087;030780118;N9999;0;44;20.64;1;;;
SMURSAMU_P;2013;040000093;040780215;M9999;4;1;4.6;;;;
SMURSAMU_P;2013;040000093;040780215;N2223;2;;2;;;;
SMURSAMU_P;2013;040000093;040780215;N9999;2;;2;;;;
SMURSAMU_P;2013;040000135;050002948;M9999;5;0;4.37;;0;0;0
SMURSAMU_P;2013;040000135;050002948;N2223;5;0;4.3;;0;0;0
SMURSAMU_P;2013;040000135;050002948;N9999;5;0;4.3;;0;0;0
SMURSAMU_P;2013;040000911;040788879;M9999;5;16;3.54;1;5;16;3.75
SMURSAMU_P;2013;040000911;040788879;N2120;;1;0.25;;1;;0.25
SMURSAMU_P;2013;040000911;040788879;N2223;12;6;1.59;;;;
SMURSAMU_P;2013;040000911;040788879;N9999;22;7;23.97;;9;2;
SMURSAMU_P;2013;050000231;050000116;M9999;6;5;2.38;1;;;
SMURSAMU_P;2013;050000231;050000116;N2223;;7;6.3;1;;;
SMURSAMU_P;2013;050000231;050000116;N9999;;7;6.3;1;;;
SMURSAMU_P;2013;050000348;050002948;M9999;11;0;8.75;;4;0;2.62
SMURSAMU_P;2013;050000348;050002948;MREG;0;0;0;;4;0;2.62
SMURSAMU_P;2013;050000348;050002948;N1220;0;0;0;;1;0;1
SMURSAMU_P;2013;050000348;050002948;N2223;10;3;8.61;;0;0;0
SMURSAMU_P;2013;050000348;050002948;N2500;0;0;0;;2;0;2
SMURSAMU_P;2013;050000348;050002948;N9999;10;3;8.61;;10;1;10.71
SMURSAMU_P;2013;060000478;060780897;M9999;6;2;3.46;1;;;
SMURSAMU_P;2013;060000478;060780897;N2223;3;;3;1;;;
SMURSAMU_P;2013;060000478;060780897;N9999;3;;3;1;;;
SMURSAMU_P;2013;060000510;060780954;M9999;13;7;4.56;1;;;
SMURSAMU_P;2013;060000510;060780954;N2120;;1;0.06;1;;;
SMURSAMU_P;2013;060000510;060780954;N2223;4;0;4;0;;;
SMURSAMU_P;2013;060000510;060780954;N9999;4;1;4.06;0;;;
SMURSAMU_P;2013;060000544;060780988;M9999;2;2;2.3;1;;;
