BOR;AN;FI;FI_EJ;URG;HMED;HIDE;SAO;ACC;PASSU;dt80;dt18;dtMCO;dtMCO80;dtMCO18;dtLS;dtLS80;dtLS18;dtEXT;dtEXT80;dtEXT18;dtHOSP;LIT_UHCD;JLI_UHCD;SEJ_UHCD;SEJ0_UHCD;JOU_UHCD;STAP;RMM
URGENCES2;2013;010000024;010780054;GEN;358;984;1;IAO;32375;4033;9311;8179;2633;1500;5;5;;65;3;12;;8;2920;2824;528;2360;0;1
URGENCES2;2013;010000032;010780062;GEN;168;168;0;;14643;1501;4077;3076;821;549;0;0;0;94;7;4;;2;730;418;96;383;1;0
URGENCES2;2013;010005239;010008407;GEN;504;336;0;;21134;1492;5239;4888;986;817;;;;;;;;8;2920;1536;481;2553;0;0
URGENCES2;2013;010780195;010000156;GEN;189;280;0;;19528;1670;3384;2781;683;118;;;;50;;;;4;1460;1062;481;586;1;
URGENCES2;2013;010780203;010006450;GEN;336;350;0;;20317;2542;5162;1821;668;38;;1241;;194;;;;6;2190;329;302;34;0;1
URGENCES2;2013;020000162;020000063;GEN;;991;1;IAO;32456;4628;84;7981;2376;5;8;755;2;16;5;0;;10;3650;4587;890;4646;0;
URGENCES2;2013;020000162;020000063;PED;321;233;0;;16612;;;;;;;;;;;;2484;0;0;0;0;0;;
URGENCES2;2013;020000394;020000253;GEN;420;588;1;IAO;28148;3032;6754;7117;1745;110;;;;479;;;;4;1460;1291;331;1095;1;0
URGENCES2;2013;020000394;020000253;PED;168;168;0;;11653;;;;;;;;;;;;1282;0;0;0;0;0;;
URGENCES2;2013;020000519;020000261;GEN;420;616;1;IAO;31323;4174;5343;7114;2925;180;14;26;;239;;;;4;1460;949;309;888;1;0
URGENCES2;2013;020000519;020000261;PED;168;105;;;9474;;;;;;;;;;;;1403;;;0;0;0;;
URGENCES2;2013;020000535;020000287;GEN;406;416;1;IAO;19302;;;7000;;;;7;;223;;;;6;2190;3361;2220;1175;1;0
URGENCES2;2013;020001061;020004404;GEN;266;399;1;IAO;26238;3012;3175;6981;2066;;;;;;;;;5;1825;4203;2974;1306;1;1
