BOR;AN;FI;FI_EJ;PERSO;EFFPL;EFFPA;ETP;MOD;COMSMUR
URGENCES_P;2013;010000024;010780054;M9999;21;2;14.76;1;1
URGENCES_P;2013;010000024;010780054;N1220;4;;4;;0
URGENCES_P;2013;010000024;010780054;N2120;1;1;1.77;;0
URGENCES_P;2013;010000024;010780054;N2500;13;5;16.28;;
URGENCES_P;2013;010000024;010780054;N9999;36;18;47.95;;
URGENCES_P;2013;010000024;010780054;NINF;15;12;23.56;;0
URGENCES_P;2013;010005239;010008407;M9999;14;0;10.43;2;1
URGENCES_P;2013;010005239;010008407;N1220;1;0;0.2;;
URGENCES_P;2013;010005239;010008407;N2120;;1;0.4;;
URGENCES_P;2013;010005239;010008407;N2500;9;0;9;;
URGENCES_P;2013;010005239;010008407;NINF;18;4;19.32;2;1
URGENCES_P;2013;010780195;010000156;M9999;5;0;5;;0
URGENCES_P;2013;010780195;010000156;N1220;2;1;2.9;;0
URGENCES_P;2013;010780195;010000156;N2120;1;;1;;0
URGENCES_P;2013;010780195;010000156;N2500;2;1;2.33;;
URGENCES_P;2013;010780195;010000156;NINF;8;2;9;;0
URGENCES_P;2013;010780203;010006450;M9999;7;;7;;1
URGENCES_P;2013;010780203;010006450;N1220;4;;4;;0
URGENCES_P;2013;010780203;010006450;N2120;1;;1;;1
URGENCES_P;2013;010780203;010006450;N2500;;6;5.56;;
URGENCES_P;2013;010780203;010006450;N3120;;1;0.58;;
URGENCES_P;2013;010780203;010006450;NINF;10;2;11.83;;1
URGENCES_P;2013;020000162;020000063;M1140;0;6;1;;0
URGENCES_P;2013;020000162;020000063;M3020;0;4;1;;
URGENCES_P;2013;020000162;020000063;M9999;7;6;9.6;1;1
URGENCES_P;2013;020000162;020000063;N1220;1;0;1;2;1
URGENCES_P;2013;020000162;020000063;N2120;3;0;1.95;2;1
URGENCES_P;2013;020000162;020000063;N2500;37;2;37.49;;
URGENCES_P;2013;020000162;020000063;N9999;91;15;96.54;;
URGENCES_P;2013;020000162;020000063;NINF;34;7;37.1;2;1
URGENCES_P;2013;020000394;020000253;M1140;1;0;1;;0
URGENCES_P;2013;020000394;020000253;M9999;9;3;10.91;1;1
URGENCES_P;2013;020000394;020000253;N1220;1;0;0.7;;0
URGENCES_P;2013;020000394;020000253;N2120;1;0;0.5;2;1
URGENCES_P;2013;020000394;020000253;N2500;10;1;10.16;;
URGENCES_P;2013;020000394;020000253;N2620;0;0;0;1;1
URGENCES_P;2013;020000394;020000253;N3120;1;1;0.9;;
URGENCES_P;2013;020000394;020000253;N9999;46;9;42.71;;
URGENCES_P;2013;020000394;020000253;NINF;25;6;22.26;1;1
URGENCES_P;2013;020000519;020000261;M9999;6;3;8.75;;0
URGENCES_P;2013;020000519;020000261;N1220;2;3;4.4;2;1
URGENCES_P;2013;020000519;020000261;N2120;1;;1;2;1
URGENCES_P;2013;020000519;020000261;N2500;12;4;15.2;;
URGENCES_P;2013;020000519;020000261;N2620;1;;1;;0
URGENCES_P;2013;020000519;020000261;NINF;24;9;30.9;;0
URGENCES_P;2013;020000535;020000287;M9999;6;2;7.16;3;1
URGENCES_P;2013;020000535;020000287;N1220;2;;1.5;3;1
URGENCES_P;2013;020000535;020000287;N2120;1;;0.7;3;1
URGENCES_P;2013;020000535;020000287;N2500;13;;11.94;;
URGENCES_P;2013;020000535;020000287;N9999;35;3;34.73;;
URGENCES_P;2013;020000535;020000287;NINF;13;2;13.6;3;1
URGENCES_P;2013;020001061;020004404;M9999;8;4;5.8;3;1
URGENCES_P;2013;020001061;020004404;N1220;1;;1;3;1
URGENCES_P;2013;020001061;020004404;N2120;1;;0.6;3;1
URGENCES_P;2013;020001061;020004404;N2500;6;;6;;
URGENCES_P;2013;020001061;020004404;N2620;5;;5;;0
URGENCES_P;2013;020001061;020004404;N3120;1;;0.5;;
URGENCES_P;2013;020001061;020004404;NINF;8;7;13.5;;0
URGENCES_P;2013;020001087;020004495;M9999;11;0;8.75;;0
URGENCES_P;2013;020001087;020004495;N1220;2;0;2;3;1
URGENCES_P;2013;020001087;020004495;N2120;0;0;0;3;1
URGENCES_P;2013;020001087;020004495;N2500;3;0;3;;
URGENCES_P;2013;020001087;020004495;N9999;31;0;29.98;;
URGENCES_P;2013;020001087;020004495;NINF;15;0;13.93;3;1
URGENCES_P;2013;020010047;020001632;M9999;4;;4;;
URGENCES_P;2013;020010047;020001632;N1220;2;2;2.5;;
URGENCES_P;2013;030000061;030780092;M9999;11;3;9.45;1;1
URGENCES_P;2013;030000061;030780092;N1220;1;;1;;0
URGENCES_P;2013;030000061;030780092;N2120;1;;1;;0
URGENCES_P;2013;030000061;030780092;N2500;11;;11;;
URGENCES_P;2013;030000061;030780092;N9999;27;9;32.85;;
URGENCES_P;2013;030000061;030780092;NINF;14;9;19.85;1;1
URGENCES_P;2013;030000079;030780100;M9999;3;1;3.33;3;1
URGENCES_P;2013;030000079;030780100;N1220;2;;1.14;3;1
URGENCES_P;2013;030000079;030780100;N2120;;;;2;1
URGENCES_P;2013;030000079;030780100;N2500;15;;9.79;;
URGENCES_P;2013;030000079;030780100;N3120;1;;0.2;;
URGENCES_P;2013;030000079;030780100;NINF;25;1;14.31;3;1
URGENCES_P;2013;030000087;030780118;M1140;0;0;0;;1
URGENCES_P;2013;030000087;030780118;M9999;9;13;16.7;3;1
URGENCES_P;2013;030000087;030780118;N1220;4;0;4.39;2;1
URGENCES_P;2013;030000087;030780118;N2120;;2;0.76;2;1
URGENCES_P;2013;030000087;030780118;N2500;19;9;20.8;;
URGENCES_P;2013;030000087;030780118;N2620;0;3;0.51;2;1
URGENCES_P;2013;030000087;030780118;N9999;38;44;59.1;;
URGENCES_P;2013;030000087;030780118;NINF;8;30;24.21;2;1
URGENCES_P;2013;030781116;030000426;M9999;3;;3;;
URGENCES_P;2013;030781116;030000426;N1220;1;;1;;
URGENCES_P;2013;030781116;030000426;N2120;1;;1;;
URGENCES_P;2013;030781116;030000426;N2500;2;1;2.7;;
URGENCES_P;2013;030781116;030000426;NINF;6;1;6.5;;
URGENCES_P;2013;040000093;040780215;M1140;;;;1;1
URGENCES_P;2013;040000093;040780215;M9999;5;8;10.86;1;1
URGENCES_P;2013;040000093;040780215;N1220;2;;1.7;;0
URGENCES_P;2013;040000093;040780215;N2120;2;;1.67;1;0
URGENCES_P;2013;040000093;040780215;N2500;9;;9.22;;
URGENCES_P;2013;040000093;040780215;N9999;31;7;36.97;;
URGENCES_P;2013;040000093;040780215;NINF;14;6;18.47;1;1
URGENCES_P;2013;040000135;050002948;M9999;6;3;7.84;;
URGENCES_P;2013;040000135;050002948;N1220;1;0;0.07;;
URGENCES_P;2013;040000135;050002948;N2120;1;0;0.46;;
URGENCES_P;2013;040000135;050002948;N2500;5;2;6;;
URGENCES_P;2013;040000135;050002948;N9999;21;9;24.84;;
URGENCES_P;2013;040000135;050002948;NINF;11;7;15.92;;
URGENCES_P;2013;040000911;040788879;M9999;5;16;5.07;2;1
URGENCES_P;2013;040000911;040788879;N1220;1;1;1.35;2;1
URGENCES_P;2013;040000911;040788879;N2120;1;;0.5;2;1
URGENCES_P;2013;040000911;040788879;N2500;8;;7.5;;
URGENCES_P;2013;040000911;040788879;N9999;22;7;23.97;;
URGENCES_P;2013;040000911;040788879;NINF;12;6;14.62;2;1
URGENCES_P;2013;050000231;050000116;M9999;6;5;9.2;2;1
URGENCES_P;2013;050000231;050000116;N1220;3;2;4.2;;0
URGENCES_P;2013;050000231;050000116;N2120;;1;0.5;;1
URGENCES_P;2013;050000231;050000116;N2500;7;;7;;
URGENCES_P;2013;050000231;050000116;N2620;4;;4;;0
URGENCES_P;2013;050000231;050000116;N9999;20;8;25.68;;
URGENCES_P;2013;050000231;050000116;NINF;6;5;9.98;2;1
URGENCES_P;2013;050000256;050000124;M9999;5;;4.6;;
URGENCES_P;2013;050000256;050000124;N1220;1;;0.26;;
URGENCES_P;2013;050000256;050000124;N2120;1;;0.25;;
URGENCES_P;2013;050000256;050000124;N2500;2;5;4.45;;
URGENCES_P;2013;050000256;050000124;N9999;15;5;11.86;;
