BOR;AN;FI;FI_EJ;AUTSU;AUTGEN;AUTSAIS;AUTPED;SPEC;CARD;CHIR;NEURO;OPHTA;AUTRE;EMG;RPU;TRSPU
URGENCES;2013;010000024;010780054;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;010000032;010780062;1;1;0;0;0;;;;;;0;0;
URGENCES;2013;010005239;010008407;1;1;0;0;;;;;;;0;1;1
URGENCES;2013;010780195;010000156;1;1;0;0;0;;;;;;1;0;0
URGENCES;2013;010780203;010006450;1;1;0;0;;1;1;1;1;1;0;1;1
URGENCES;2013;020000162;020000063;1;1;0;1;0;;;;;;1;1;0
URGENCES;2013;020000394;020000253;1;1;0;1;0;;;;;;0;1;1
URGENCES;2013;020000519;020000261;1;1;0;1;0;;;;;;0;0;
URGENCES;2013;020000535;020000287;1;1;0;0;1;1;1;;;1;0;0;
URGENCES;2013;020001061;020004404;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;020001087;020004495;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;020010047;020001632;1;1;0;0;0;;;;;;0;;
URGENCES;2013;030000061;030780092;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;030000079;030780100;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;030000087;030780118;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;030781116;030000426;1;1;0;0;1;1;1;;1;1;0;1;1
URGENCES;2013;040000093;040780215;1;1;0;0;1;1;1;1;1;1;0;1;1
URGENCES;2013;040000135;050002948;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;040000911;040788879;1;1;0;0;;;;;;;;;
URGENCES;2013;050000231;050000116;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;050000256;050000124;1;1;0;0;0;;;;;;1;0;
URGENCES;2013;050000348;050002948;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;060000478;060780897;1;1;0;1;0;;;;;;;;
URGENCES;2013;060000510;060780954;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;060000544;060780988;1;1;0;1;1;1;1;;1;;0;0;
URGENCES;2013;060001450;060785011;1;1;0;0;1;;1;;;1;1;1;1
URGENCES;2013;060002102;060791761;1;1;0;0;0;;;;;;1;0;0
URGENCES;2013;060019288;060017019;1;0;0;1;0;;;;;;0;1;1
URGENCES;2013;060780491;060790797;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;060780517;060000239;1;1;0;0;1;;1;;;;0;1;1
URGENCES;2013;060780715;060000361;1;1;0;0;;;;;;;0;1;1
URGENCES;2013;060780723;060004959;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;060780947;060800174;1;0;0;1;;;;;;;0;1;1
URGENCES;2013;070000013;070002878;1;1;0;0;1;;1;;;;1;1;1
URGENCES;2013;070000179;070780358;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;070000609;070005566;1;1;0;0;1;1;1;1;1;1;1;1;1
URGENCES;2013;070780424;070000245;1;1;0;0;0;;;;;;0;1;0
URGENCES;2013;080000110;080000037;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;080000219;080001969;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;080000276;080001969;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;080000425;080000615;1;1;0;1;0;;;;;;1;1;1
URGENCES;2013;090000175;090781774;1;1;0;0;0;1;1;1;1;1;1;1;1
URGENCES;2013;090000183;090781816;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;090001629;090780107;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;100000090;100000017;1;1;0;0;1;1;1;1;1;1;0;1;1
URGENCES;2013;100000199;100006279;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;110000023;110780061;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;110000049;110780087;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;110000056;110780137;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;110780228;110000114;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;110780483;110000155;1;1;0;0;;;;;;;;;
URGENCES;2013;120000039;120780044;1;1;0;0;0;;;;;;;;
URGENCES;2013;120000054;120780069;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;120000070;120780085;1;1;0;0;;;;;;;;;
URGENCES;2013;120004569;120004528;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;120004668;120004619;1;1;0;0;;;;;;;0;;
URGENCES;2013;130000409;130041916;1;1;0;1;1;1;;1;;;1;0;0
URGENCES;2013;130000565;130781446;1;1;0;1;0;;;;;;1;0;0
URGENCES;2013;130001225;130782634;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;130002215;130785512;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;130002827;130789274;1;1;0;0;;;;;;;;1;1
URGENCES;2013;130002835;130789316;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;130043664;130002157;1;1;0;0;;;;;;;;0;0
URGENCES;2013;130780521;130786049;1;1;0;1;;;;;;;;;
URGENCES;2013;130781479;130000599;1;1;0;0;;1;1;;;1;0;1;1
URGENCES;2013;130782071;130002454;1;1;0;0;0;;;;;;0;0;
URGENCES;2013;130782147;130000979;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;130783236;130786049;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;130783293;130786049;1;1;0;0;1;1;;1;;;1;1;1
URGENCES;2013;130784713;130038847;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;130785355;130002157;1;1;0;0;;;;;;;0;0;0
URGENCES;2013;130785363;130042930;1;1;0;0;;;;;;;0;0;0
URGENCES;2013;130785652;130014228;1;1;0;1;0;;;;;;0;1;1
URGENCES;2013;130786361;130002447;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;130786742;750821092;1;1;0;0;0;;;;;;0;0;
URGENCES;2013;130804297;130786049;1;0;0;1;0;;;;;;0;0;0
URGENCES;2013;140000027;140000035;1;1;0;0;0;;;;;;1;1;1
URGENCES;2013;140000076;140000084;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;140000209;140000100;1;1;0;1;0;;;;;;0;1;0
URGENCES;2013;140000233;140000118;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;140000373;140000159;1;1;0;0;;;;;;;0;1;0
URGENCES;2013;140002452;140025800;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;140016759;140003146;1;1;0;0;1;;1;;1;1;0;1;
URGENCES;2013;140017237;140003278;1;1;0;0;1;1;1;;;;0;1;0
URGENCES;2013;140024886;140000092;1;1;0;0;0;;;;;;0;1;1
URGENCES;2013;140026410;140026279;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;150000032;150780088;1;1;0;0;0;;;;;;0;0;0
URGENCES;2013;150000040;150780096;1;1;0;0;0;;;;;;;;
URGENCES;2013;150000164;150780468;1;1;0;0;;;;;;;0;1;1
