BOR;AN;FI;FI_EJ;PALIA_A1;PALIA_A2;PALIA_A3;PALIA_A4;PALIA_A5;PALIA_A6;PALIA_A7;PALIA_A8;PALIA_A9;PALIA_A10;PALIA_A11;PALIA_A12;PALIA_A13;PALIA_A14;PALIA_A15;PALIA_A16;PALIA_A17;PALIA_A18;PALIA_A19;PALIA_A20
PALIA;2013;010000024;010780054;1;10;2;0;75;0;;;;1;1846;36;5;1131;;;;2629;70;28
PALIA;2013;010000065;010780096;0;;;;;1;1;10;143;0;;;;;;;;;;
PALIA;2013;010000214;010007987;1;5;;;34;0;;;;0;;;;;;;;;;
PALIA;2013;010005239;010008407;0;;;;;0;;;;1;137;2;0;3;1;0;2;0;0;0
PALIA;2013;010780195;010000156;1;4;;;136;0;;;;0;;;;;;;;;;
PALIA;2013;020000089;020000022;1;4;4;0;27;0;;;;0;;;;;;;;;;
PALIA;2013;020000097;020000048;0;;;;;1;1;6;82;0;;;;;;;;;;
PALIA;2013;020000105;020000055;1;6;2;;89;0;;;;1;0;5;0;7;0;;0;14;0;42
PALIA;2013;020000162;020000063;1;8;4;0;256;0;;;;1;1479;13;3;415;374;41;0;429;91;70
PALIA;2013;020000303;750814030;1;8;8;0;125;0;;;;1;72;0;0;0;0;0;0;25;46;7
PALIA;2013;020000394;020000253;1;7;;;245;0;;;83;1;1019;1;3;70;8;14;48;111;15;16
PALIA;2013;020000519;020000261;1;8;0;0;36;1;1;8;191;1;2273;3;1;114;0;114;0;396;294;57
PALIA;2013;020000535;020000287;1;5;0;0;23;0;;;;1;2156;2;0;504;385;119;0;238;33;2
PALIA;2013;020001061;020004404;1;6;;;92;0;;;;1;73;;;;;;;73;70;
PALIA;2013;020001087;020004495;1;6;0;0;67;0;;;;0;;;;;;;;;;
PALIA;2013;020010047;020001632;1;4;;;16;0;;;;0;;;;;;;;;;
PALIA;2013;030000061;030780092;1;4;0;0;46;0;;;;1;2355;0;0;0;;;;385;56;0
PALIA;2013;030000079;030780100;1;5;0;0;38;0;;;96;1;3814;1;1;0;0;0;0;664;27;0
PALIA;2013;030000087;030780118;1;3;3;;91;0;;;;1;10108;21;1;1002;623;282;330;1323;30;29
PALIA;2013;030000095;030780126;1;1;1;0;;0;;;;0;;;;;;;;;;
PALIA;2013;030781116;030000426;1;5;0;0;124;0;;;;0;;;;;;;;;;
PALIA;2013;040000093;040780215;1;3;0;0;100;0;;;;1;2666;7;3;1752;236;96;1420;388;0;0
PALIA;2013;050000231;050000116;1;4;;;92;0;;;;1;1643;;;;;;;110;;
PALIA;2013;050000256;050000124;1;2;;;44;0;;;;1;992;15;16;5582;4095;432;1055;444;0;226
PALIA;2013;050000348;050002948;0;;;;;1;1;10;138;0;;;;;;;;;;
PALIA;2013;050006436;050002948;0;;;;;1;1;10;;0;;;;;;;;;;
PALIA;2013;060000478;060780897;1;;;;;0;;;;1;594;56;3;1919;1840;79;;683;73;254
PALIA;2013;060000510;060780954;1;10;0;0;233;1;1;12;91;1;1020;56;3;1488;1425;63;;683;164;163
PALIA;2013;060000528;060780962;1;9;0;0;123;0;;;;1;9634;;;0;;;;;;
PALIA;2013;060000536;060006889;1;2;2;0;13;0;;;;0;;;;;;;;;;
PALIA;2013;060000544;060780988;0;;;;;0;;;;1;855;56;3;1653;1571;82;;683;67;260
PALIA;2013;060002102;060791761;1;2;0;0;26;0;;;;0;;;;;;;;;;
PALIA;2013;060019288;060017019;0;;;;;0;;;;1;247;;8;10;;;10;62;76;
PALIA;2013;060021631;060017019;1;2;;;;0;;;;1;93;;;;;;;;;
PALIA;2013;060780145;060000049;1;6;6;;88;0;;;;0;;;;;;;;;;
PALIA;2013;060780186;060006939;1;2;2;;72;0;;;;0;;;;;;;;;;
PALIA;2013;060780517;060000239;1;4;;;113;0;;;;0;;;;;;;;;;
PALIA;2013;060780715;060000361;1;3;0;0;37;0;;;;0;;;;;;;;;;
PALIA;2013;060780947;060800174;0;;;;;0;;;;1;247;0;8;10;;;10;62;76;0
PALIA;2013;060785219;060001468;1;6;;;323;0;;;;0;;;;;;;;;;
PALIA;2013;060789195;060785011;0;;;;;1;1;12;234;1;507;11;9;234;;163;71;523;138;196
PALIA;2013;070000013;070002878;0;;;;;1;1;6;125;1;737;7;2;728;605;105;18;237;15;15
PALIA;2013;070000062;070005558;1;5;5;;82;0;;;;0;;;;;;;;;;
PALIA;2013;070000179;070780358;1;4;0;0;114;0;;;;1;;10;2;146;24;124;0;239;0;100
PALIA;2013;070000195;070780374;1;3;0;0;66;0;;;;0;;;;;;;;;;
PALIA;2013;070000609;070005566;1;9;3;0;212;0;;;;1;2813;32;9;479;201;100;178;405;242;0
PALIA;2013;080000110;080000037;1;3;2;;87;0;;;;0;;;;;;;;;;
PALIA;2013;080000219;080001969;1;5;0;;144;0;;;;0;;;;;;;;;;
PALIA;2013;080000276;080001969;1;0;;;95;0;;;;0;;;;;;;;;;
PALIA;2013;080000425;080000615;1;10;0;0;223;0;;;;1;1740;9;3;1740;1539;63;138;312;130;110
PALIA;2013;090000175;090781774;1;9;6;0;127;0;;;;1;957;2;0;0;0;0;0;219;57;41
PALIA;2013;090000183;090781816;1;2;1;0;12;0;;;;0;;;;;;;;;;
PALIA;2013;090001629;090780107;1;3;0;0;35;0;;;;1;210;2;0;63;0;48;15;71;128;0
PALIA;2013;100000090;100000017;1;15;0;0;42;0;;;;0;;;;;;;;;;
PALIA;2013;100000199;100006279;0;;;;;1;1;5;139;1;;;;;;;;;;
PALIA;2013;100002351;100000561;1;3;;;236;0;;;;0;;;;;;;;;;
PALIA;2013;100009364;100000017;0;;;;;1;1;12;257;1;1131;25;13;520;125;77;318;584;222;85
PALIA;2013;110000023;110780061;1;6;0;0;44;0;;;;0;;;;;;;;;;
PALIA;2013;110000049;110780087;1;3;0;0;68;0;;;;0;;;;;;;;;;
PALIA;2013;110000056;110780137;1;7;0;0;215;0;;;;1;1742;12;0;107;8;51;48;351;81;26
PALIA;2013;110780210;110000114;1;7;;;341;0;;;;1;5489;9;;104;;8;96;397;14;14
PALIA;2013;110780483;110000155;0;;;;;1;1;10;201;1;174;41;4;1783;1694;89;0;596;25;112
PALIA;2013;110786746;110786324;1;3;3;;33;0;;;;0;;;;;;;;;;
PALIA;2013;120000039;120780044;0;;;;;0;;;;1;1571;;;106;20;51;35;419;84;593
PALIA;2013;120000054;120780069;1;3;0;0;34;0;;;;0;;;;;;;;;;
PALIA;2013;120000096;120780101;1;2;0;0;17;0;;;;0;;;;;;;;;;
PALIA;2013;120004668;120004619;1;3;1;;;0;;;;0;;;;;;;;;;
PALIA;2013;120780143;120000112;1;4;4;;48;0;;;;0;;;;;;;;;;
PALIA;2013;130000409;130041916;0;;;;;0;;;;1;1050;1;;23;10;3;10;510;320;124
PALIA;2013;130000516;130781339;1;2;0;0;51;0;;;;1;907;2;3;1524;1383;141;0;360;74;36
PALIA;2013;130000565;130781446;1;2;0;0;36;0;;;;0;;;;;;;;;;
PALIA;2013;130001225;130782634;1;2;0;0;46;1;1;8;209;1;3112;74;;392;;74;218;534;;
PALIA;2013;130001647;130784127;1;8;0;0;199;0;;;;1;3645;0;0;0;;;;729;119;12
PALIA;2013;130002827;130789274;1;2;;;46;0;;;;0;;;;;;;;;;
PALIA;2013;130002835;130789316;1;3;0;0;118;0;;;;1;1865;6;0;80;0;80;0;220;45;2
PALIA;2013;130043664;130002157;1;8;;;59;0;;;;1;3105;;;0;;;;110;35;12
PALIA;2013;130780521;130786049;1;8;;;;0;;;;1;3611;0;0;0;0;;0;941;242;7
PALIA;2013;130781255;220020739;0;;;;;1;1;10;208;1;0;11;0;349;0;25;324;208;;42
PALIA;2013;130781289;130002447;1;3;;;67;0;;;;0;;;;;;;;;;
PALIA;2013;130783152;130001365;1;8;8;0;142;1;1;12;355;1;32;20;20;313;0;21;292;203;3;0
PALIA;2013;130783293;130786049;1;12;;;;1;1;7;184;1;4263;;;;;;;777;120;
PALIA;2013;130783475;130001431;1;8;8;;92;0;;;;0;;;;;;;;;;
PALIA;2013;130784051;130037823;1;8;0;0;118;0;;;120;0;;;;;;;;;;
