BOR;AN;FI;FI_EJ;PERSO;PRESTA;MAD;FI1;FI2
Q26;2013;010000024;010780054;M1000;1;;;
Q26;2013;010000024;010780054;M1010;1;;;
Q26;2013;010000024;010780054;M2000;1;;;
Q26;2013;010000024;010780054;M3000;1;;;
Q26;2013;010000065;010780096;M1000;0;1;690782222;
Q26;2013;010000065;010780096;N1000;0;1;690782222;
Q26;2013;010000065;010780096;N2000;1;1;690782230;
Q26;2013;010000081;010780112;M1000;0;1;740000237;
Q26;2013;010000081;010780112;M3000;0;1;010008407;
Q26;2013;010000081;010780112;N2000;1;0;;
Q26;2013;010000107;010780138;M1000;0;1;010780054;
Q26;2013;010000107;010780138;N1000;0;1;010780054;
Q26;2013;010000107;010780138;N2000;1;0;;
Q26;2013;010000107;010780138;N3000;0;1;010780054;
Q26;2013;010000107;010780138;N5000;0;1;710780958;
Q26;2013;010000131;010009132;N1000;0;1;010780989;
Q26;2013;010000131;010009132;N2000;1;0;;
Q26;2013;010000214;010007987;M1000;0;1;010000024;
Q26;2013;010000214;010007987;M2000;0;1;010000024;
Q26;2013;010000214;010007987;N1000;0;1;010000024;
Q26;2013;010000214;010007987;N2000;0;1;010000024;
Q26;2013;010000214;010007987;N4000;0;1;010000024;
Q26;2013;010000214;010007987;N5000;0;1;010000024;
Q26;2013;010000495;010783009;M1010;0;1;690781810;
Q26;2013;010000495;010783009;M3000;0;1;690781810;
Q26;2013;010002129;920000395;N2000;1;0;;
Q26;2013;010006526;690796552;N2000;1;0;;
Q26;2013;010009314;010780054;N2000;1;0;;
Q26;2013;010780203;010006450;M2000;1;0;;
Q26;2013;010780203;010006450;N2000;1;;;
Q26;2013;010780203;010006450;N4000;;1;690780416;
Q26;2013;010780203;010006450;N5000;1;0;;
Q26;2013;010780252;010783009;M1000;1;0;;
Q26;2013;010780252;010783009;M1010;1;0;;
Q26;2013;010780252;010783009;N1000;0;1;010007987;
Q26;2013;010780252;010783009;N2000;1;0;;
Q26;2013;010780252;010783009;N4000;1;0;;
Q26;2013;010780278;010783009;M1000;1;0;;
Q26;2013;010780278;010783009;M1010;1;0;;
Q26;2013;010780278;010783009;N1000;0;1;010007987;
Q26;2013;010780278;010783009;N2000;1;0;;
Q26;2013;010780278;010783009;N4000;1;1;010780799;
Q26;2013;010780294;690000278;M1000;1;;;
Q26;2013;010780294;690000278;N3000;1;;;
Q26;2013;010780310;010000222;N1000;1;1;010780799;
Q26;2013;010780310;010000222;N2000;1;;;
Q26;2013;010780328;010000222;N1000;1;1;010780799;
Q26;2013;010780328;010000222;N2000;1;0;;
Q26;2013;010780476;750005068;M1010;1;0;;
Q26;2013;010780476;750005068;N1000;1;0;;
Q26;2013;010780492;360000707;N2000;1;0;;
Q26;2013;010780799;750721334;N2000;1;;;
Q26;2013;020000089;020000022;M1000;0;1;020000162;020000394
Q26;2013;020000089;020000022;M2000;0;1;020000162;
Q26;2013;020000089;020000022;M3000;0;1;020000162;020000394
Q26;2013;020000089;020000022;N2000;0;1;020000246;
Q26;2013;020000105;020000055;N2000;0;1;590000469;020004495
Q26;2013;020000105;020000055;N3000;0;1;020000071;
Q26;2013;020000162;020000063;M1000;1;1;800000192;
Q26;2013;020000162;020000063;N2000;1;0;;
Q26;2013;020000162;020000063;N3000;0;1;020000535;
Q26;2013;020000162;020000063;N4000;0;1;020000915;
Q26;2013;020000360;020014742;N2000;1;0;;
Q26;2013;020000394;020000253;M3000;1;0;;
Q26;2013;020000519;020000261;N1000;0;1;020000261;
Q26;2013;020000519;020000261;N2000;0;1;020000261;
Q26;2013;020000519;020000261;N3000;0;1;020000261;
Q26;2013;020000519;020000261;N4000;0;1;020000261;
Q26;2013;020000519;020000261;N5000;0;1;020000261;
