BOR;AN;FI;FI_EJ;PHARMA_A1;PHARMA_A2;PHARMA_A3;PHARMA_A4;PHARMA_A5;PHARMA_A6;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A8;PHARMA_B8;PHARMA_C8;PHARMA_D8;PHARMA_E8;PHARMA_A9;PHARMA_B9;PHARMA_C9;PHARMA_D9;PHARMA_E9;PHARMA_A10;PHARMA_A11;PHARMA_A12;PHARMA_A13;PHARMA_A14;PHARMA_A15;PHARMA_A16;PHARMA_A17;PHARMA_A18;PHARMA_A19;PHARMA_A20;PHARMA_A21;PHARMA_A22;PHARMA_A23;PHARMA_A24;PHARMA_A25;PHARMA_A26;PHARMA_A27;PHARMA_A28;PHARMA_A29;PHARMA_A30;PHARMA_A31;PHARMA_A32;PHARMA_A33;PHARMA_A34;PHARMA_A35;PHARMA_B29;PHARMA_B30;PHARMA_B31;PHARMA_B32;PHARMA_B33;PHARMA_B34;PHARMA_B35;PHARMA_C29;PHARMA_C30;PHARMA_C31;PHARMA_C32;PHARMA_C33;PHARMA_C34;PHARMA_C35;PHARMA_D29;PHARMA_E29
PHARMA;2013;010000024;010780054;0;;;;1;1;434;0;80;120;169;0;0;0;0;0;0;0;0;0;0;12625000;1;72;580;94;1;1;0;0;1;1;1;1;30;0;1;1;1;0;8;2;4;;17;9;2;1;;;;6;8;2;7.38;0.6;1.5;0.67;19.59;15.77;3;0;1
PHARMA;2013;010000032;010780062;0;;;;0;0;107;;40;;185;0;0;0;0;0;0;0;0;0;0;2646564;1;100;340;145;1;1;0;0;1;1;1;0;;;1;1;1;1;2;;;;;;;;;;;;;;2;;;;;;;0;1
PHARMA;2013;010000065;010780096;0;;;;0;0;59;0;68;30;168;0;0;0;0;0;0;0;0;0;0;358900;1;100;325;198;1;0;0;0;0;1;0;0;;;0;0;0;;2;0;0;0;2;0;1;0;0;0;0;5;0;0;0.88;0;0;0;3.23;0;0.24;0;0
PHARMA;2013;010000081;010780112;0;;;;1;1;;;20;30;247;1;0;0;0;0;0;1;0;0;0;285764;0;;290;290;0;;;;0;1;1;0;;;0;0;0;0;;;;;1;;;1;;;;2;;;0.5;;;;2.6;;;0;0
PHARMA;2013;010000099;010780120;0;;;;1;0;;;;;;1;1;1;1;1;0;0;0;0;0;93961;1;100;150;150;0;0;0;0;0;1;0;0;;;0;0;0;;;;;;;;;1;;;;2;;;0.6;;;;1.6;;;0;0
PHARMA;2013;010000107;010780138;0;;;;1;0;15;;20;;172;0;0;0;0;0;0;0;0;0;0;;1;100;147;207;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;1;;;1;0;0;0;1;0;0;0.2;0;0;0;0.74;;;0;0
PHARMA;2013;010000115;010009132;0;;;;0;0;12;0;18;30;111;1;1;1;1;1;0;0;0;0;0;124402;1;100;171;141;0;0;0;0;0;1;0;0;;;0;0;0;0;;;;;;;;1;;;;3;;;0.6;;;;2;;;0;0
PHARMA;2013;010000131;010009132;0;;;;0;0;8;0;29;0;165;1;1;1;1;1;0;0;0;0;0;154410;1;100;202;165;0;0;0;0;0;1;1;0;;;0;0;0;0;;;;;2;;;1;;;;1;;;0.8;;;;2.4;;;0;0
PHARMA;2013;010000214;010007987;0;;;;1;1;11;;279;;69;0;0;0;0;0;0;0;0;0;0;587272;1;100;359;319;1;0;0;0;0;1;1;0;;;0;0;0;0;2;;;;3;;1;;;;;1;;;2;;;;3.8;;1;0;0
PHARMA;2013;010000495;010783009;0;;;;0;0;;404;;;;0;0;0;0;0;0;0;0;0;0;641259;1;100;404;0;0;0;0;0;0;1;1;0;;;0;0;0;0;2;;;;2;;2;0;;;;;;;2;;;;2;;1.82;0;1
