BOR;AN;FI;FI_EJ;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;PCON;PACT;PDEN
MCO;2013;010000024;010780054;292;106093;14609;881;87950;78;26988;3710;124;19476;64;22250;4309;796;15394;434;155331;22628;1801;122820;29;2689;;;32796;15;3917;4;0;;;48;6606;;;32796;1;1;1;1;1;1;1;1;1;74;134;65;123;103118;1523;2406
MCO;2013;010000032;010780062;75;27375;3437;244;20033;20;7300;1016;47;4984;12;4380;879;219;2622;107;39055;5332;510;27639;5;316;0;0;432;5;953;0;0;0;0;10;1269;0;0;432;1;0;1;1;1;1;1;1;0;110;25;16;;26156;;318
MCO;2013;010000065;010780096;59;21535;1732;11;19030;;;0;0;0;;;0;0;0;59;21535;1732;11;19030;;0;;;16;;0;;0;;;;0;;;16;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;010000099;010780120;9;3285;117;1;1149;;;0;0;0;;;0;0;0;9;3285;117;1;1149;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;010000107;010780138;15;5475;263;4;3334;;;0;0;0;;;0;0;0;15;5475;263;4;3334;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;0;0;0;;;;;;;
MCO;2013;010000115;010009132;12;4380;160;0;3328;0;0;0;0;0;0;0;0;0;0;12;4380;160;0;3328;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0
MCO;2013;010000131;010009132;8;2920;154;2;2805;0;0;0;0;0;0;0;0;0;0;8;2920;154;2;2805;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0
MCO;2013;010000214;010007987;11;4015;298;1;3108;;;0;0;0;;;0;0;0;11;4015;298;1;3108;;0;;;0;;0;;0;;;;0;;;0;0;0;0;0;0;0;1;0;0;;;;;1087;0;0
MCO;2013;010005239;010008407;76;27740;5043;510;22318;26;9490;1345;82;5255;21;7665;1046;183;3479;123;44895;7434;775;31052;7;511;;;169;7;1244;1;122;;;15;1877;;;169;1;0;1;1;1;1;1;0;1;56;50;20;20;;;
MCO;2013;010007300;010007292;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;0;2;1912;;0;;;2;1912;;;0;;;;;;;;;;;;;;;;
MCO;2013;010780195;010000156;32;11680;3049;533;14673;132;48180;5735;79;22782;;;0;0;0;164;59860;8784;612;37455;;0;;;2857;21;8072;;0;;;21;8072;;;2857;;;;;;;;;;;;;;;;
MCO;2013;010780203;010006450;20;7300;1071;329;5946;46;16790;2646;371;9219;15;5475;1013;44;4174;81;29565;4730;744;19339;2;1849;;;85;12;3261;;0;;;14;5110;;;85;;;;;;;;;;;;;;;;
MCO;2013;010780294;690000278;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;20;815;;;9128;;0;;0;;;20;815;;;9128;;;;;;;;;;;;;;;;
MCO;2013;020000089;020000022;28;10220;1122;194;7997;0;0;0;0;0;0;0;0;0;0;28;10220;1122;194;7997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;1;132;;20;40;14554;2192;0
MCO;2013;020000097;020000048;31;11315;2505;1923;10281;;;0;0;0;;;0;0;0;31;11315;2505;1923;10281;;0;;;0;;0;;0;;;;0;;;0;0;1;0;0;0;0;0;0;1;;;;22;1655;0;0
MCO;2013;020000105;020000055;15;5475;385;4;3990;;;0;0;0;;;0;0;0;15;5475;385;4;3990;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;0;1;1;;;;;4984;;
MCO;2013;020000162;020000063;295;106082;15942;666;94368;124;42068;6767;0;27970;55;18251;2358;3;11076;474;166401;25067;669;133414;53;3715;2;377;42077;30;5193;1;859;0;0;84;9767;2;377;42077;1;1;1;1;1;1;1;1;1;;;;;111295;37768;0
MCO;2013;020000246;020000071;36;13140;521;10;7872;;;0;0;0;;;0;0;0;36;13140;521;10;7872;;0;;;0;;0;;0;;;;0;;;0;0;0;1;0;0;1;0;1;1;;;;;1403;;
MCO;2013;020000311;020000550;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;0;11;1291;;0;;;11;1291;;;0;;;;;;;;;;;;;;;;
