BOR;AN;FI;FI_EJ;EQUIPSSR;EQPL;EQAU
SSR2;2013;010000032;010780062;EXPEQU;1;
SSR2;2013;010000032;010780062;EXPURO;;1
SSR2;2013;010000032;010780062;SALINT;;1
SSR2;2013;010000081;010780112;VEHADP;1;
SSR2;2013;010000198;010007987;EXPEQU;1;
SSR2;2013;010000198;010007987;ISOCIN;1;
SSR2;2013;010000198;010007987;PISCIN;1;
SSR2;2013;010000214;010007987;APTAUT;1;
SSR2;2013;010000214;010007987;EXPEQU;1;
SSR2;2013;010000214;010007987;PISCIN;;1
SSR2;2013;010002129;920000395;EXPEQU;1;
SSR2;2013;010002129;920000395;EXPURO;;1
SSR2;2013;010002129;920000395;LABMAR;;1
SSR2;2013;010002129;920000395;PISCIN;1;
SSR2;2013;010780252;010783009;EXPEQU;1;
SSR2;2013;010780252;010783009;LABMAR;;1
SSR2;2013;010780252;010783009;PISCIN;1;
SSR2;2013;010780252;010783009;SALINT;;1
SSR2;2013;010780252;010783009;SIMESP;1;
SSR2;2013;010780278;010783009;EXPEQU;1;
SSR2;2013;010780278;010783009;LABMAR;1;
SSR2;2013;010780278;010783009;PISCIN;;1
SSR2;2013;010780278;010783009;SALINT;1;
SSR2;2013;010780278;010783009;SIMESP;1;
SSR2;2013;010780476;750005068;PISCIN;1;
SSR2;2013;010780492;360000707;APTAUT;;1
SSR2;2013;010780492;360000707;ASSMAR;;1
SSR2;2013;010780492;360000707;ASSMEM;;1
SSR2;2013;010780492;360000707;EXPEQU;;1
SSR2;2013;010780492;360000707;EXPURO;;1
SSR2;2013;010780492;360000707;IDRACH;;1
SSR2;2013;010780492;360000707;ISOCIN;;1
SSR2;2013;010780492;360000707;LABMAR;;1
SSR2;2013;010780492;360000707;PISCIN;1;
SSR2;2013;010780492;360000707;SALINT;;1
SSR2;2013;010780492;360000707;SIMESP;;1
SSR2;2013;010780492;360000707;STICON;;1
SSR2;2013;010780492;360000707;VEHADP;1;
SSR2;2013;010780799;750721334;EXPEQU;1;
SSR2;2013;010780799;750721334;ISOCIN;1;
SSR2;2013;010780799;750721334;LABMAR;1;
SSR2;2013;010780799;750721334;PISCIN;1;
SSR2;2013;010780799;750721334;SIMESP;1;
SSR2;2013;020000162;020000063;EXPURO;1;
SSR2;2013;020000162;020000063;PISCIN;1;
SSR2;2013;020000303;750814030;APTAUT;1;
SSR2;2013;020000303;750814030;EXPURO;;1
SSR2;2013;020000303;750814030;ISOCIN;1;
SSR2;2013;020000303;750814030;PISCIN;1;
SSR2;2013;020000303;750814030;SALINT;;1
SSR2;2013;020000519;020000261;APTAUT;;1
SSR2;2013;020000519;020000261;ASSMAR;;1
SSR2;2013;020000519;020000261;ASSMEM;;1
SSR2;2013;020000519;020000261;EXPEQU;;1
SSR2;2013;020000519;020000261;EXPURO;;1
SSR2;2013;020000519;020000261;IDRACH;;1
SSR2;2013;020000519;020000261;ISOCIN;;1
SSR2;2013;020000519;020000261;LABMAR;;1
SSR2;2013;020000519;020000261;PISCIN;;1
SSR2;2013;020000519;020000261;SALINT;;1
SSR2;2013;020000519;020000261;SIMESP;;1
SSR2;2013;020000519;020000261;STICON;;1
SSR2;2013;020000519;020000261;VEHADP;;1
SSR2;2013;020000535;020000287;SIMESP;1;
SSR2;2013;020000535;020000287;VEHADP;1;
SSR2;2013;020000915;020003620;EXPEQU;1;
SSR2;2013;020000915;020003620;PISCIN;1;
SSR2;2013;020000915;020003620;STICON;1;
SSR2;2013;020000915;020003620;VEHADP;1;
SSR2;2013;020001087;020004495;APTAUT;;1
SSR2;2013;020001087;020004495;ASSMAR;;1
SSR2;2013;020001087;020004495;ASSMEM;;1
SSR2;2013;020001087;020004495;EXPEQU;;1
SSR2;2013;020001087;020004495;EXPURO;;1
SSR2;2013;020001087;020004495;IDRACH;;1
SSR2;2013;020001087;020004495;ISOCIN;;1
SSR2;2013;020001087;020004495;LABMAR;;1
SSR2;2013;020001087;020004495;PISCIN;;1
SSR2;2013;020001087;020004495;SALINT;;1
SSR2;2013;020001087;020004495;SIMESP;;1
SSR2;2013;020001087;020004495;STICON;;1
SSR2;2013;020001087;020004495;VEHADP;;1
SSR2;2013;020003877;020000253;EXPURO;1;
SSR2;2013;030000012;030180020;APTAUT;1;
SSR2;2013;030000012;030180020;EXPEQU;1;
SSR2;2013;030000012;030180020;EXPURO;;1
SSR2;2013;030000012;030180020;PISCIN;1;
SSR2;2013;030000012;030180020;SIMESP;1;
SSR2;2013;030000061;030780092;EXPEQU;1;
SSR2;2013;030000087;030780118;EXPEQU;1;
SSR2;2013;030000087;030780118;ISOCIN;1;
SSR2;2013;030000087;030780118;PISCIN;1;
SSR2;2013;030000087;030780118;SIMESP;1;
SSR2;2013;030780548;030000194;PISCIN;1;
SSR2;2013;030780548;030000194;SALINT;1;
SSR2;2013;040000069;040780181;PISCIN;1;
SSR2;2013;040000119;040780231;APTAUT;;1
SSR2;2013;040000119;040780231;ASSMAR;;1
SSR2;2013;040000119;040780231;ASSMEM;;1
SSR2;2013;040000119;040780231;EXPEQU;;1
SSR2;2013;040000119;040780231;EXPURO;;1
SSR2;2013;040000119;040780231;IDRACH;;1
SSR2;2013;040000119;040780231;ISOCIN;;1
SSR2;2013;040000119;040780231;LABMAR;;1
SSR2;2013;040000119;040780231;PISCIN;;1
SSR2;2013;040000119;040780231;SALINT;;1
SSR2;2013;040000119;040780231;SIMESP;;1
SSR2;2013;040000119;040780231;STICON;;1
SSR2;2013;040000119;040780231;VEHADP;;1
SSR2;2013;040780488;040000200;APTAUT;1;
SSR2;2013;040780488;040000200;EXPURO;;1
SSR2;2013;040780488;040000200;LABMAR;;1
SSR2;2013;040780488;040000200;PISCIN;1;
SSR2;2013;040780488;040000200;SIMESP;1;
SSR2;2013;050000041;130037815;APTAUT;;1
SSR2;2013;050000041;130037815;ASSMAR;;1
SSR2;2013;050000041;130037815;ASSMEM;;1
SSR2;2013;050000041;130037815;EXPEQU;1;
SSR2;2013;050000041;130037815;EXPURO;;1
SSR2;2013;050000041;130037815;IDRACH;;1
SSR2;2013;050000041;130037815;ISOCIN;1;
SSR2;2013;050000041;130037815;LABMAR;;1
SSR2;2013;050000041;130037815;PISCIN;1;
SSR2;2013;050000041;130037815;SALINT;;1
SSR2;2013;050000041;130037815;SIMESP;1;
SSR2;2013;050000041;130037815;STICON;;1
SSR2;2013;050000041;130037815;VEHADP;;1
SSR2;2013;050000058;050000033;APTAUT;;1
SSR2;2013;050000058;050000033;ASSMAR;;1
SSR2;2013;050000058;050000033;ASSMEM;;1
SSR2;2013;050000058;050000033;EXPEQU;;1
SSR2;2013;050000058;050000033;EXPURO;;1
SSR2;2013;050000058;050000033;IDRACH;;1
SSR2;2013;050000058;050000033;ISOCIN;;1
SSR2;2013;050000058;050000033;LABMAR;;1
SSR2;2013;050000058;050000033;PISCIN;;1
SSR2;2013;050000058;050000033;SALINT;;1
SSR2;2013;050000058;050000033;SIMESP;;1
SSR2;2013;050000058;050000033;STICON;;1
SSR2;2013;050000058;050000033;VEHADP;;1
SSR2;2013;050000462;050000660;PISCIN;;1
SSR2;2013;050000488;050000678;PISCIN;1;
SSR2;2013;050000637;050001163;APTAUT;;1
SSR2;2013;050000637;050001163;ASSMAR;;1
SSR2;2013;050000637;050001163;ASSMEM;;1
SSR2;2013;050000637;050001163;EXPEQU;;1
SSR2;2013;050000637;050001163;EXPURO;;1
SSR2;2013;050000637;050001163;IDRACH;;1
SSR2;2013;050000637;050001163;ISOCIN;;1
SSR2;2013;050000637;050001163;LABMAR;;1
SSR2;2013;050000637;050001163;PISCIN;;1
SSR2;2013;050000637;050001163;SALINT;;1
SSR2;2013;050000637;050001163;SIMESP;;1
SSR2;2013;050000637;050001163;STICON;;1
SSR2;2013;050000637;050001163;VEHADP;;1
SSR2;2013;050000991;050000546;PISCIN;1;
SSR2;2013;050000991;050000546;SIMESP;1;
SSR2;2013;050001064;050000561;PISCIN;1;
SSR2;2013;050001064;050000561;SIMESP;1;
SSR2;2013;050002351;130037815;APTAUT;;1
SSR2;2013;050002351;130037815;ASSMAR;;1
SSR2;2013;050002351;130037815;ASSMEM;;1
SSR2;2013;050002351;130037815;EXPEQU;1;
SSR2;2013;050002351;130037815;EXPURO;;1
SSR2;2013;050002351;130037815;IDRACH;;1
SSR2;2013;050002351;130037815;ISOCIN;;1
SSR2;2013;050002351;130037815;LABMAR;;1
SSR2;2013;050002351;130037815;PISCIN;1;
SSR2;2013;050002351;130037815;SALINT;;1
SSR2;2013;050002351;130037815;SIMESP;1;
SSR2;2013;050002351;130037815;STICON;;1
SSR2;2013;050002351;130037815;VEHADP;;1
SSR2;2013;060000296;060780640;EXPEQU;1;
SSR2;2013;060000536;060006889;EXPURO;;1
SSR2;2013;060000536;060006889;SALINT;;1
SSR2;2013;060000536;060006889;VEHADP;1;
SSR2;2013;060002102;060791761;EXPURO;1;
SSR2;2013;060002102;060791761;SALINT;1;
SSR2;2013;060005469;750043994;APTAUT;;1
SSR2;2013;060005469;750043994;ASSMAR;;1
SSR2;2013;060005469;750043994;ASSMEM;;1
